"","m_name","m_director","m_actor","m_year","m_country","m_type","m_score","m_commit_count","m_detail_url"
"18","大话西游之大圣娶亲","导演: 刘镇伟 Jeffrey Lau","主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...","1995","中国香港 中国大陆","喜剧 爱情 奇幻 古装","9.2","1346050","https://movie.douban.com/subject/1292213/"
"19","疯狂动物城","导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore","主演: 金妮弗·...","2016","美国","喜剧 动画 冒险","9.2","1645334","https://movie.douban.com/subject/25662329/"
"20","熔炉","导演: 黄东赫 Dong-hyuk Hwang","主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...","2011","韩国","剧情","9.3","818899","https://movie.douban.com/subject/5912992/"
"21","教父","导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola","主演: 马龙·白兰度 M...","1972","美国","剧情 犯罪","9.3","824044","https://movie.douban.com/subject/1291841/"
"22","当幸福来敲门","导演: 加布里尔·穆奇诺 Gabriele Muccino","主演: 威尔·史密斯 Will Smith ...","2006","美国","剧情 传记 家庭","9.2","1333874","https://movie.douban.com/subject/1849031/"
"23","龙猫","导演: 宫崎骏 Hayao Miyazaki","主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...","1988","日本","动画 奇幻 冒险","9.2","1112568","https://movie.douban.com/subject/1291560/"
"24","控方证人","导演: 比利·怀尔德 Billy Wilder","主演: 泰隆·鲍华 Tyrone Power / 玛琳·...","1957","美国","剧情 犯罪 悬疑","9.6","415074","https://movie.douban.com/subject/1296141/"
"25","怦然心动","导演: 罗伯·莱纳 Rob Reiner","主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...","2010","美国","剧情 喜剧 爱情","9.1","1594111","https://movie.douban.com/subject/3319755/"
"26","触不可及","导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano","主...","2011","法国","剧情 喜剧","9.3","905167","https://movie.douban.com/subject/6786002/"
"27","蝙蝠侠：黑暗骑士","导演: 克里斯托弗·诺兰 Christopher Nolan","主演: 克里斯蒂安·贝尔 Christ...","2008","美国 英国","剧情 动作 科幻 犯罪 惊悚","9.2","913652","https://movie.douban.com/subject/1851857/"
"28","末代皇帝","导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci","主演: 尊龙 John Lone / 陈...","1987","英国 意大利 中国大陆 法国","剧情 传记 历史","9.3","730805","https://movie.douban.com/subject/1293172/"
"29","活着","导演: 张艺谋 Yimou Zhang","主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang","1994","中国大陆 中国香港","剧情 历史 家庭","9.3","713679","https://movie.douban.com/subject/1292365/"
"30","寻梦环游记","导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina","主演: ...","2017","美国","喜剧 动画 奇幻 音乐","9.1","1410863","https://movie.douban.com/subject/20495023/"
"31","指环王3：王者无敌","导演: 彼得·杰克逊 Peter Jackson","主演: 伊利亚·伍德 Elijah Wood / 西恩...","2003","美国 新西兰","剧情 动作 奇幻 冒险","9.3","698065","https://movie.douban.com/subject/1291552/"
"32","乱世佳人","导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor","主演: 费...","1939","美国","剧情 历史 爱情 战争","9.3","603445","https://movie.douban.com/subject/1300267/"
"33","哈利·波特与魔法石","导演: Chris Columbus","主演: Daniel Radcliffe / Emma Watson / Rupert Grint","2001","美国 英国","奇幻 冒险","9.1","980548","https://movie.douban.com/subject/1295038/"
"34","飞屋环游记","导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson","主演: 爱德...","2009","美国","剧情 喜剧 动画 冒险","9.1","1160941","https://movie.douban.com/subject/2129039/"
"35","素媛","导演: 李濬益 Jun-ik Lee","主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...","2013","韩国","剧情","9.3","587392","https://movie.douban.com/subject/21937452/"
